ID,Y
1, 3.0187
2, 2.7349
3, 3.0292
4, 3.6002
5, 3.5030
6, 2.4798
7, 2.4132
8, 1.9625
9, 2.1013
10, 2.1049
11, 3.4161
12, 3.0193
13, 3.6011
14, 3.0419
15, 3.7592
16, 1.0737
17, 2.6309
18, 0.3204
19, 3.4162
20, 1.2384
21, 2.8057
22, 1.7843
23, 2.8330
24, 2.4023
25, 3.2060
26, 3.6192
27, 3.5711
28, 3.1852
29, 2.4647
30, 1.4129
31, 1.5140
32, 1.8480
33, 3.0369
34, 3.0647
35, 3.4343
36, 3.5419
37, 3.8882
38, 2.2112
39, 2.0034
40, 0.5398
41, 2.2809
42, 1.7160
43, 3.0545
44, 3.0116
45, 3.1378
46, 3.4645
47, 4.2009
48, 3.2654
49, 2.0879
50, 0.8000
51, 1.6283
52, 1.4480
53, 3.3165
54, 3.0707
55, 3.1981
56, 3.2473
57, 4.2514
58, 2.4548
59, 2.5823
60, 0.4159
61, 2.5345
62, 1.1139
63, 3.1801
64, 2.5410
65, 3.2720
66, 2.6336
67, 3.9330
68, 2.6240
69, 3.7174
70, 0.7984
71, 3.2300
72, 0.6849
73, 3.6650
74, 0.7552
75, 3.2203
76, 0.7940
77, 2.8843
78, 0.9857
79, 2.2902
80, 2.6030
81, 2.6746
82, 3.9923
83, 3.5646
84, 4.4208
85, 1.9926
86, 3.2192
87, 1.3830
88, 2.9822
89, 1.0192
90, 3.1705
91, 1.9682
92, 3.0481
93, 1.9928
94, 3.4144
95, 2.2562
96, 3.9546
97, 2.1089
98, 3.9489
99, 0.5423
100, 3.9909
101, 0.1106
102, 3.5105
103, 0.2994
104, 3.1288
105, 0.0625
106, 3.0017
107, 1.4262
108, 3.0180
109, 2.8390
110, 2.6239
111, 3.3901
112, 3.5736
113, 3.8116
114, 2.3204
115, 2.8127
116, 1.6021
117, 2.3783
118, 1.2300
119, 3.3903
120, 2.4694
121, 3.3537
122, 2.6003
123, 3.9518
124, 1.3395
125, 3.9486
126, 0.2404
127, 3.8594
128, 0.5734
129, 2.7465
130, 0.7760
131, 2.9032
132, 1.1686
133, 2.9896
134, 3.2182
135, 3.0506
136, 3.6239
137, 3.9155
138, 3.4577
139, 1.9967
140, 1.4099
141, 1.4671
142, 2.0023
143, 2.9404
144, 3.1232
145, 3.2112
146, 3.4467
147, 3.9235
148, 2.8024
149, 2.1067
150, 0.9091
151, 1.8374
152, 1.7277
153, 3.3389
154, 3.1538
155, 3.2740
156, 3.3108
157, 4.0970
158, 2.2019
159, 2.1676
160, 0.4618
161, 2.5473
162, 1.4459
163, 3.0534
164, 2.8848
165, 3.1435
166, 3.0529
167, 4.2200
168, 3.1651
169, 2.7885
170, 0.7050
171, 2.1182
172, 0.9727
173, 3.4727
174, 2.7598
175, 3.3236
176, 2.6571
177, 3.9622
178, 1.7837
179, 3.7035
180, 0.4834
181, 3.5987
182, 0.8697
183, 3.1023
184, 0.7595
185, 3.0618
186, 0.7999
187, 2.8830
188, 2.5335
189, 2.7061
190, 3.2399
191, 3.5213
192, 3.9446
193, 2.7181
194, 3.2154
195, 1.5614
196, 2.0941
197, 1.0244
198, 3.3323
199, 2.3448
200, 3.2608
201, 2.8285
