ID,Actual Y,Fitted Values,Type,Forecasted Values,Merged Values
0,3.0187,2.5631910156279125,Fitted,,2.5631910156279125
1,2.7349,2.468569799520214,Fitted,,2.468569799520214
2,3.0292,2.8109899013153994,Fitted,,2.8109899013153994
3,3.6002,2.525937899024348,Fitted,,2.525937899024348
4,3.503,2.7457807890522257,Fitted,,2.7457807890522257
5,2.4798,2.9498730711929655,Fitted,,2.9498730711929655
6,2.4132,2.6132230274405495,Fitted,,2.6132230274405495
7,1.9625,1.8557593829707058,Fitted,,1.8557593829707058
8,2.1013,2.00527128871061,Fitted,,2.00527128871061
9,2.1049,2.0960857161327735,Fitted,,2.0960857161327735
10,3.4161,2.516708985208978,Fitted,,2.516708985208978
11,3.0193,2.453608827895419,Fitted,,2.453608827895419
12,3.6011,3.1957825406303852,Fitted,,3.1957825406303852
13,3.0419,2.764582988283108,Fitted,,2.764582988283108
14,3.7592,2.886946019516723,Fitted,,2.886946019516723
15,1.0737,2.183178035854347,Fitted,,2.183178035854347
16,2.6309,2.6228514588118594,Fitted,,2.6228514588118594
17,0.3204,0.8873453182499105,Fitted,,0.8873453182499105
18,3.4162,2.430138101796963,Fitted,,2.430138101796963
19,1.2384,1.2326130790785603,Fitted,,1.2326130790785603
20,2.8057,3.905849159441941,Fitted,,3.905849159441941
21,1.7843,2.010177172056741,Fitted,,2.010177172056741
22,2.833,3.1604819754553333,Fitted,,3.1604819754553333
23,2.4023,2.395828894085772,Fitted,,2.395828894085772
24,3.206,3.3106981778445137,Fitted,,3.3106981778445137
25,3.6192,2.634104037151491,Fitted,,2.634104037151491
26,3.5711,2.8083624273263164,Fitted,,2.8083624273263164
27,3.1852,2.8315900546164965,Fitted,,2.8315900546164965
28,2.4647,2.8312468239631174,Fitted,,2.8312468239631174
29,1.4129,2.458862754833829,Fitted,,2.458862754833829
30,1.514,1.9372846852531225,Fitted,,1.9372846852531225
31,1.848,1.7606979254407649,Fitted,,1.7606979254407649
32,3.0369,2.160292118270824,Fitted,,2.160292118270824
33,3.0647,2.70495072174867,Fitted,,2.70495072174867
34,3.4343,3.097408918095618,Fitted,,3.097408918095618
35,3.5419,2.9973231597158474,Fitted,,2.9973231597158474
36,3.8882,2.826680139632555,Fitted,,2.826680139632555
37,2.2112,3.0429092155893565,Fitted,,3.0429092155893565
38,2.0034,2.7563895595510344,Fitted,,2.7563895595510344
39,0.5398,1.5644867364947128,Fitted,,1.5644867364947128
40,2.2809,1.401395178670949,Fitted,,1.401395178670949
41,1.716,1.3023426927896244,Fitted,,1.3023426927896244
42,3.0545,3.07246045103332,Fitted,,3.07246045103332
43,3.0116,2.746792083971993,Fitted,,2.746792083971993
44,3.1378,3.2888288498924236,Fitted,,3.2888288498924236
45,3.4645,3.0897568497002936,Fitted,,3.0897568497002936
46,4.2009,3.0663095316749187,Fitted,,3.0663095316749187
47,3.2654,2.945170689387779,Fitted,,2.945170689387779
48,2.0879,2.7449172023477315,Fitted,,2.7449172023477315
49,0.8,1.722087790088147,Fitted,,1.722087790088147
50,1.6283,1.2786476626921004,Fitted,,1.2786476626921004
51,1.448,1.1913242862090474,Fitted,,1.1913242862090474
52,3.3165,2.7360253087798143,Fitted,,2.7360253087798143
53,3.0707,2.8007797485386394,Fitted,,2.8007797485386394
54,3.1981,3.648759532770873,Fitted,,3.648759532770873
55,3.2473,2.85150005112303,Fitted,,2.85150005112303
56,4.2514,2.8249648076385254,Fitted,,2.8249648076385254
57,2.4548,2.66598906272973,Fitted,,2.66598906272973
58,2.5823,2.9755134979266162,Fitted,,2.9755134979266162
59,0.4159,1.4306387237076554,Fitted,,1.4306387237076554
60,2.5345,1.7429236090949674,Fitted,,1.7429236090949674
61,1.1139,0.9770964537337061,Fitted,,0.9770964537337061
62,3.1801,3.3979979811713443,Fitted,,3.3979979811713443
63,2.541,2.3483677360223645,Fitted,,2.3483677360223645
64,3.272,3.444150070585459,Fitted,,3.444150070585459
65,2.6336,2.6087948945022017,Fitted,,2.6087948945022017
66,3.933,3.158146860941078,Fitted,,3.158146860941078
67,2.624,2.4855117216328684,Fitted,,2.4855117216328684
68,3.7174,2.9841390351162307,Fitted,,2.9841390351162307
69,0.7984,1.8301004507208054,Fitted,,1.8301004507208054
70,3.23,2.7249706187854166,Fitted,,2.7249706187854166
71,0.6849,0.9587513421629026,Fitted,,0.9587513421629026
72,3.665,3.23062554996181,Fitted,,3.23062554996181
73,0.7552,1.649160663572332,Fitted,,1.649160663572332
74,3.2203,3.730668475646583,Fitted,,3.730668475646583
75,0.794,1.4544885965376324,Fitted,,1.4544885965376324
76,2.8843,3.340828411731884,Fitted,,3.340828411731884
77,0.9857,1.828014635369665,Fitted,,1.828014635369665
78,2.2902,3.4685956685940162,Fitted,,3.4685956685940162
79,2.603,2.021439464245863,Fitted,,2.021439464245863
80,2.6746,3.1163702065106897,Fitted,,3.1163702065106897
81,3.9923,3.3419925330224176,Fitted,,3.3419925330224176
82,3.5646,3.2440858552512446,Fitted,,3.2440858552512446
83,4.4208,3.739933038389028,Fitted,,3.739933038389028
84,1.9926,2.7713348578099644,Fitted,,2.7713348578099644
85,3.2192,3.2824776646375446,Fitted,,3.2824776646375446
86,1.383,1.3070816399165586,Fitted,,1.3070816399165586
87,2.9822,2.6123584673886504,Fitted,,2.6123584673886504
88,1.0192,1.3629040529397802,Fitted,,1.3629040529397802
89,3.1705,3.185679881946355,Fitted,,3.185679881946355
90,1.9682,1.4263029187036222,Fitted,,1.4263029187036222
91,3.0481,3.579731141242074,Fitted,,3.579731141242074
92,1.9928,2.32664952869244,Fitted,,2.32664952869244
93,3.4144,3.464303861824866,Fitted,,3.464303861824866
94,2.2562,1.92729175785706,Fitted,,1.92729175785706
95,3.9546,3.2208063295126736,Fitted,,3.2208063295126736
96,2.1089,2.0149296497969154,Fitted,,2.0149296497969154
97,3.9489,3.3860544445250618,Fitted,,3.3860544445250618
98,0.5423,1.5993656347493248,Fitted,,1.5993656347493248
99,3.9909,3.2921804366076577,Fitted,,3.2921804366076577
100,0.1106,1.0107845547222878,Fitted,,1.0107845547222878
101,3.5105,3.805057359109399,Fitted,,3.805057359109399
102,0.2994,0.9830790930717623,Fitted,,0.9830790930717623
103,3.1288,3.5767219083574195,Fitted,,3.5767219083574195
104,0.0625,1.3078378241855342,Fitted,,1.3078378241855342
105,3.0017,3.6476391600338247,Fitted,,3.6476391600338247
106,1.4262,1.7297779078465305,Fitted,,1.7297779078465305
107,3.018,3.864882421387656,Fitted,,3.864882421387656
108,2.839,2.7211183958643947,Fitted,,2.7211183958643947
109,2.6239,3.6557478081074697,Fitted,,3.6557478081074697
110,3.3901,3.208193445039972,Fitted,,3.208193445039972
111,3.5736,2.7300575088998555,Fitted,,2.7300575088998555
112,3.8116,3.430933252570995,Fitted,,3.430933252570995
113,2.3204,2.962168801656689,Fitted,,2.962168801656689
114,2.8127,3.1442259069790586,Fitted,,3.1442259069790586
115,1.6021,1.6139511920654037,Fitted,,1.6139511920654037
116,2.3783,2.6600645801794314,Fitted,,2.6600645801794314
117,1.23,1.8308747895568471,Fitted,,1.8308747895568471
118,3.3903,3.109563681546328,Fitted,,3.109563681546328
119,2.4694,1.6461154436456327,Fitted,,1.6461154436456327
120,3.3537,3.7808111810983744,Fitted,,3.7808111810983744
121,2.6003,2.515868573608739,Fitted,,2.515868573608739
122,3.9518,3.4537564543122996,Fitted,,3.4537564543122996
123,1.3395,2.0602247806340497,Fitted,,2.0602247806340497
124,3.9486,3.3882873168677086,Fitted,,3.3882873168677086
125,0.2404,1.246090169286378,Fitted,,1.246090169286378
126,3.8594,3.4150652191603283,Fitted,,3.4150652191603283
127,0.5734,0.6007799249621262,Fitted,,0.6007799249621262
128,2.7465,3.9572797188855064,Fitted,,3.9572797188855064
129,0.776,1.4250634252051868,Fitted,,1.4250634252051868
130,2.9032,3.39748942718386,Fitted,,3.39748942718386
