ID,Actual Y,Fitted Values,Type,Forecasted Values,Merged Values
0,3.0187,2.5649521351759166,Fitted,,2.5649521351759166
1,2.7349,2.4582732272913987,Fitted,,2.4582732272913987
2,3.0292,2.809968195104104,Fitted,,2.809968195104104
3,3.6002,2.5227618531454534,Fitted,,2.5227618531454534
4,3.503,2.732111446290762,Fitted,,2.732111446290762
5,2.4798,2.927985269632574,Fitted,,2.927985269632574
6,2.4132,2.583576805807503,Fitted,,2.583576805807503
7,1.9625,1.8524558696181606,Fitted,,1.8524558696181606
8,2.1013,2.0337261272189844,Fitted,,2.0337261272189844
9,2.1049,2.134080248182924,Fitted,,2.134080248182924
10,3.4161,2.4310982227376705,Fitted,,2.4310982227376705
11,3.0193,2.4085674936019386,Fitted,,2.4085674936019386
12,3.6011,3.236717570218506,Fitted,,3.236717570218506
13,3.0419,2.8007597482466657,Fitted,,2.8007597482466657
14,3.7592,2.9805718806282413,Fitted,,2.9805718806282413
15,1.0737,2.205358982310446,Fitted,,2.205358982310446
16,2.6309,2.5957361729615833,Fitted,,2.5957361729615833
17,0.3204,0.8189805748183505,Fitted,,0.8189805748183505
18,3.4162,2.533000742486583,Fitted,,2.533000742486583
19,1.2384,1.2814260814884624,Fitted,,1.2814260814884624
20,2.8057,3.8996614774791247,Fitted,,3.8996614774791247
21,1.7843,1.9543853733100858,Fitted,,1.9543853733100858
22,2.833,3.2570095813774773,Fitted,,3.2570095813774773
23,2.4023,2.4385118438861575,Fitted,,2.4385118438861575
24,3.206,3.3498102935040466,Fitted,,3.3498102935040466
25,3.6192,2.606835317947198,Fitted,,2.606835317947198
26,3.5711,2.678158279223155,Fitted,,2.678158279223155
27,3.1852,2.9634639506848917,Fitted,,2.9634639506848917
28,2.4647,2.816457176166997,Fitted,,2.816457176166997
29,1.4129,2.616356610384322,Fitted,,2.616356610384322
30,1.514,1.7304208644488286,Fitted,,1.7304208644488286
31,1.848,1.5463406024438904,Fitted,,1.5463406024438904
32,3.0369,2.0501796766766147,Fitted,,2.0501796766766147
33,3.0647,2.8803195972715265,Fitted,,2.8803195972715265
34,3.4343,3.3193179549422553,Fitted,,3.3193179549422553
35,3.5419,2.9905664620530885,Fitted,,2.9905664620530885
36,3.8882,2.876306789012012,Fitted,,2.876306789012012
37,2.2112,2.9991615359441828,Fitted,,2.9991615359441828
38,2.0034,2.82729168116675,Fitted,,2.82729168116675
39,0.5398,1.324549329991029,Fitted,,1.324549329991029
40,2.2809,1.323733283915874,Fitted,,1.323733283915874
41,1.716,1.3506599399307853,Fitted,,1.3506599399307853
42,3.0545,3.422034032866538,Fitted,,3.422034032866538
43,3.0116,2.8315641810304077,Fitted,,2.8315641810304077
44,3.1378,3.141518332779648,Fitted,,3.141518332779648
45,3.4645,2.867610650236792,Fitted,,2.867610650236792
46,4.2009,3.1566680705568713,Fitted,,3.1566680705568713
47,3.2654,3.1213864902014,Fitted,,3.1213864902014
48,2.0879,2.6611407090169292,Fitted,,2.6611407090169292
49,0.8,1.6333830389980286,Fitted,,1.6333830389980286
50,1.6283,1.2671954390486175,Fitted,,1.2671954390486175
51,1.448,1.6151949714398721,Fitted,,1.6151949714398721
52,3.3165,2.74211237806972,Fitted,,2.74211237806972
53,3.0707,2.4395990211464853,Fitted,,2.4395990211464853
54,3.1981,3.25982617553675,Fitted,,3.25982617553675
55,3.2473,3.0947699913450655,Fitted,,3.0947699913450655
56,4.2514,3.2580062780872048,Fitted,,3.2580062780872048
57,2.4548,2.8513765573481495,Fitted,,2.8513765573481495
58,2.5823,2.753158969090822,Fitted,,2.753158969090822
59,0.4159,1.224312587090754,Fitted,,1.224312587090754
60,2.5345,1.8184183531859714,Fitted,,1.8184183531859714
61,1.1139,1.250233168369185,Fitted,,1.250233168369185
62,3.1801,3.3481846699259252,Fitted,,3.3481846699259252
63,2.541,2.078120845832722,Fitted,,2.078120845832722
64,3.272,3.318065434698159,Fitted,,3.318065434698159
65,2.6336,2.79309856141836,Fitted,,2.79309856141836
66,3.933,3.4735442219976376,Fitted,,3.4735442219976376
67,2.624,2.564218789506432,Fitted,,2.564218789506432
68,3.7174,2.7959392160306296,Fitted,,2.7959392160306296
69,0.7984,1.7154519613523158,Fitted,,1.7154519613523158
70,3.23,2.7656938798228845,Fitted,,2.7656938798228845
71,0.6849,1.1880506416539829,Fitted,,1.1880506416539829
72,3.665,3.168168839975384,Fitted,,3.168168839975384
73,0.7552,1.374074754437944,Fitted,,1.374074754437944
74,3.2203,3.6811076066400825,Fitted,,3.6811076066400825
75,0.794,1.6024311275616174,Fitted,,1.6024311275616174
76,2.8843,3.642556705624875,Fitted,,3.642556705624875
77,0.9857,1.8382266075867595,Fitted,,1.8382266075867595
78,2.2902,3.3981659307904026,Fitted,,3.3981659307904026
79,2.603,2.021643544192436,Fitted,,2.021643544192436
80,2.6746,3.044285323085529,Fitted,,3.044285323085529
81,3.9923,3.438597498238261,Fitted,,3.438597498238261
82,3.5646,3.065512650893356,Fitted,,3.065512650893356
83,4.4208,3.777967651023644,Fitted,,3.777967651023644
84,1.9926,2.584728104677127,Fitted,,2.584728104677127
85,3.2192,3.4292848626998262,Fitted,,3.4292848626998262
86,1.383,1.1381480794570336,Fitted,,1.1381480794570336
87,2.9822,2.699921010896944,Fitted,,2.699921010896944
88,1.0192,1.1977971289231446,Fitted,,1.1977971289231446
89,3.1705,3.200071162045917,Fitted,,3.200071162045917
90,1.9682,1.4758782406568123,Fitted,,1.4758782406568123
91,3.0481,3.6222419786625446,Fitted,,3.6222419786625446
92,1.9928,2.392006589909303,Fitted,,2.392006589909303
93,3.4144,3.368724835239591,Fitted,,3.368724835239591
94,2.2562,1.9991400786967195,Fitted,,1.9991400786967195
95,3.9546,3.1397009544342804,Fitted,,3.1397009544342804
