ID,Forecasted_Y
6,2.9573333601308884
7,2.3168877032491424
8,1.7522633169545936
9,1.6329996285589194
10,2.209560933901864
11,2.928840656820965
12,3.3518243119121958
13,3.504402716469003
14,3.840717123100632
15,3.3235801807505823
16,2.3317313233013515
17,1.1362510271230721
18,1.582312359900785
19,1.7672094461280423
20,2.9079932695864668
21,3.2978046862185306
22,3.149470807757239
23,3.6615804384229396
24,3.633953980834927
25,2.8786624419741447
26,1.5818599230493766
27,1.6437006704555324
28,1.5597098469091977
29,2.5302664484261657
30,3.1243861274309137
31,3.230969549765504
32,3.5788482198718743
33,3.8027549526557536
34,3.2088032617205062
35,1.9602909254426946
36,1.3800743343909228
37,1.4808607536831455
38,2.056618291491212
39,2.9817194944199583
40,3.2494406458744285
41,3.304482681580847
42,3.663623637257965
43,3.549654445208752
44,2.5365030902681567
45,1.5794049418319505
46,1.4348726926972168
47,1.8743815476680001
48,2.5202125888875986
49,3.2895967858691484
50,3.2411936498930403
51,3.611349721945898
52,3.536291221480431
53,3.190315641939363
54,1.5820704283981024
55,1.8293638315389642
56,1.3608957756970927
57,2.633218466434797
58,2.74311483049006
59,3.2193636965195553
60,3.372262161489576
61,3.7999867075544413
62,3.0003646502685055
63,2.735828919873774
64,1.2448912413513438
65,2.0544851165844413
66,1.4449258195823933
67,3.1840426947836
68,2.9731336384511144
69,3.2837457223595576
70,3.222312766713078
71,3.940261585776765
72,2.2904256969014893
73,2.736329181844398
74,1.130961706115457
75,2.7807761453935873
76,1.2014927203928383
77,3.356877562644255
78,2.4071410920968086
79,3.274022258323526
80,2.3437503307062633
81,3.7633813488359467
82,1.8831121572408325
83,3.936088392062453
84,1.3527100108331365
85,3.80120160276018
86,0.8152202690525256
87,3.494464881168481
88,0.6209152273984049
89,3.122188416672268
90,0.811697422135373
91,2.8864898613881227
92,1.5181431464882706
93,2.9063527495257513
94,2.3307965199281004
95,3.108769324225802
96,2.6959253036791635
97,3.790009901328874
98,2.6135994271693628
99,3.925189128452689
100,1.537911319689669
101,3.473798131965754
102,0.8274062590770723
103,3.5990840441738183
104,0.9650636629128999
105,3.1757301029411753
106,0.9176015656580505
107,3.056892881172459
108,1.2586030210332715
109,3.031277946851595
110,1.843428407211144
111,3.127068200022765
112,2.1716006028846477
113,3.482800976832584
114,2.181645249696534
115,3.908613328724057
116,1.7580800236966643
117,3.939127625388161
118,1.053020604266225
119,3.7618488250027173
120,0.7053034296732437
121,3.3394661639291683
122,0.5597763931174287
123,3.004716299642786
124,1.0125721511569235
125,2.832497234751329
126,1.9004497917889935
127,2.9104728180750414
128,2.646723232562883
129,3.308779085771783
